AS0 [ -Reserved AS-, ZZ ]
AS336 [ DNIC-ASBLK-00306-00371, US ]
AS337 [ DNIC-ASBLK-00306-00371, US ]
AS338 [ DNIC-ASBLK-00306-00371, US ]
AS339 [ DNIC-ASBLK-00306-00371, US ]
AS340 [ DNIC-ASBLK-00306-00371, US ]
AS341 [ DNIC-ASBLK-00306-00371, US ]
AS342 [ DNIC-ASBLK-00306-00371, US ]
AS343 [ DNIC-ASBLK-00306-00371, US ]
AS344 [ DNIC-ASBLK-00306-00371, US ]
AS345 [ DNIC-ASBLK-00306-00371, US ]
AS346 [ DNIC-ASBLK-00306-00371, US ]
AS347 [ DNIC-ASBLK-00306-00371, US ]
AS348 [ DNIC-ASBLK-00306-00371, US ]
AS349 [ DNIC-ASBLK-00306-00371, US ]
AS350 [ DNIC-ASBLK-00306-00371, US ]
AS351 [ DNIC-ASBLK-00306-00371, US ]
AS352 [ DNIC-ASBLK-00306-00371, US ]
AS353 [ DNIC-ASBLK-00306-00371, US ]
AS354 [ DNIC-ASBLK-00306-00371, US ]
AS355 [ DNIC-ASBLK-00306-00371, US ]
AS356 [ DNIC-ASBLK-00306-00371, US ]
AS357 [ DNIC-ASBLK-00306-00371, US ]
AS358 [ DNIC-ASBLK-00306-00371, US ]
AS359 [ DNIC-ASBLK-00306-00371, US ]
AS360 [ DNIC-ASBLK-00306-00371, US ]
AS361 [ DNIC-ASBLK-00306-00371, US ]
AS362 [ DNIC-ASBLK-00306-00371, US ]
AS363 [ DNIC-ASBLK-00306-00371, US ]
AS364 [ DNIC-ASBLK-00306-00371, US ]
AS365 [ DNIC-ASBLK-00306-00371, US ]
AS366 [ DNIC-ASBLK-00306-00371, US ]
AS367 [ DNIC-ASBLK-00306-00371, US ]
AS368 [ DNIC-ASBLK-00306-00371, US ]
AS369 [ DNIC-ASBLK-00306-00371, US ]
AS370 [ DNIC-ASBLK-00306-00371, US ]
AS371 [ DNIC-ASBLK-00306-00371, US ]
AS372 [ AS372, US ]
AS373 [ MITRE-AS-4, US ]
AS374 [ BROOKS-AS, US ]
AS375 [ TIETOTIE-AS P.O.Box 38. FI-00441 Helsinki Finland., EU ]
AS376 [ RISQ-AS, CA ]
AS377 [ SNLA-NET-AS, US ]
AS378 [ MACHBA-AS ILAN, IL ]
AS379 [ AFCONC-BLOCK1-AS, US ]
AS380 [ AFCONC-BLOCK1-AS, US ]
AS381 [ AFCONC-BLOCK1-AS, US ]
AS382 [ AFCONC-BLOCK1-AS, US ]
AS383 [ AFCONC-BLOCK1-AS, US ]
AS384 [ AFCONC-BLOCK1-AS, US ]
AS385 [ AFCONC-BLOCK1-AS, US ]
AS386 [ AFCONC-BLOCK1-AS, US ]
AS387 [ AFCONC-BLOCK1-AS, US ]
AS388 [ AFCONC-BLOCK1-AS, US ]
AS389 [ AFCONC-BLOCK1-AS, US ]
AS390 [ AFCONC-BLOCK1-AS, US ]
AS391 [ AFCONC-BLOCK1-AS, US ]
AS392 [ AFCONC-BLOCK1-AS, US ]
AS393 [ AFCONC-BLOCK1-AS, US ]
AS394 [ AFCONC-BLOCK1-AS, US ]
AS395 [ AFCONC-BLOCK1-AS, US ]
AS396 [ AFCONC-BLOCK1-AS, US ]
AS397 [ AFCONC-BLOCK1-AS, US ]
AS398 [ AFCONC-BLOCK1-AS, US ]
AS399 [ AFCONC-BLOCK1-AS, US ]
AS400 [ AFCONC-BLOCK1-AS, US ]
AS401 [ AFCONC-BLOCK1-AS, US ]
AS402 [ AFCONC-BLOCK1-AS, US ]
AS403 [ AFCONC-BLOCK1-AS, US ]
AS404 [ AFCONC-BLOCK1-AS, US ]
AS405 [ AFCONC-BLOCK1-AS, US ]
AS406 [ AFCONC-BLOCK1-AS, US ]
AS407 [ AFCONC-BLOCK1-AS, US ]
AS408 [ AFCONC-BLOCK1-AS, US ]
AS409 [ AFCONC-BLOCK1-AS, US ]
AS410 [ AFCONC-BLOCK1-AS, US ]
AS411 [ AFCONC-BLOCK1-AS, US ]
AS412 [ AFCONC-BLOCK1-AS, US ]
AS413 [ AFCONC-BLOCK1-AS, US ]
AS414 [ AFCONC-BLOCK1-AS, US ]
AS415 [ AFCONC-BLOCK1-AS, US ]
AS416 [ AFCONC-BLOCK1-AS, US ]
AS417 [ AFCONC-BLOCK1-AS, US ]
AS418 [ AFCONC-BLOCK1-AS, US ]
AS419 [ AFCONC-BLOCK1-AS, US ]
AS420 [ AFCONC-BLOCK1-AS, US ]
AS421 [ AFCONC-BLOCK1-AS, US ]
AS422 [ AFCONC-BLOCK1-AS, US ]
AS423 [ AFCONC-BLOCK1-AS, US ]
AS424 [ AFCONC-BLOCK1-AS, US ]
AS425 [ AFCONC-BLOCK1-AS, US ]
AS426 [ AFCONC-BLOCK1-AS, US ]
AS427 [ AFCONC-BLOCK1-AS, US ]
AS428 [ AFCONC-BLOCK1-AS, US ]
AS429 [ AFCONC-BLOCK1-AS, US ]
AS430 [ AFCONC-BLOCK1-AS, US ]
AS431 [ AFCONC-BLOCK1-AS, US ]
AS432 [ AFCONC-BLOCK1-AS, US ]
AS433 [ AFCONC-BLOCK1-AS, US ]
AS434 [ AFCONC-BLOCK1-AS, US ]
AS435 [ AFCONC-BLOCK1-AS, US ]
AS436 [ AFCONC-BLOCK1-AS, US ]
AS437 [ AFCONC-BLOCK1-AS, US ]
AS438 [ AFCONC-BLOCK1-AS, US ]
AS439 [ AFCONC-BLOCK1-AS, US ]
AS440 [ AFCONC-BLOCK1-AS, US ]
AS441 [ AFCONC-BLOCK1-AS, US ]
AS442 [ AFCONC-BLOCK1-AS, US ]
AS443 [ AFCONC-BLOCK1-AS, US ]
AS444 [ AFCONC-BLOCK1-AS, US ]
AS445 [ AFCONC-BLOCK1-AS, US ]
AS446 [ AFCONC-BLOCK1-AS, US ]
AS447 [ AFCONC-BLOCK1-AS, US ]
AS448 [ AFCONC-BLOCK1-AS, US ]
AS449 [ AFCONC-BLOCK1-AS, US ]
AS450 [ AFCONC-BLOCK1-AS, US ]
AS451 [ AFCONC-BLOCK1-AS, US ]
AS452 [ AFCONC-BLOCK1-AS, US ]
AS453 [ AFCONC-BLOCK1-AS, US ]
AS454 [ AFCONC-BLOCK1-AS, US ]
AS455 [ AFCONC-BLOCK1-AS, US ]
AS456 [ AFCONC-BLOCK1-AS, US ]
AS457 [ AFCONC-BLOCK1-AS, US ]
AS458 [ AFCONC-BLOCK1-AS, US ]
AS459 [ AFCONC-BLOCK1-AS, US ]
AS460 [ AFCONC-BLOCK1-AS, US ]
AS461 [ AFCONC-BLOCK1-AS, US ]
AS462 [ AFCONC-BLOCK1-AS, US ]
AS463 [ AFCONC-BLOCK1-AS, US ]
AS464 [ AFCONC-BLOCK1-AS, US ]
AS465 [ AFCONC-BLOCK1-AS, US ]
AS466 [ AFCONC-BLOCK1-AS, US ]
AS467 [ AFCONC-BLOCK1-AS, US ]
AS468 [ AFCONC-BLOCK1-AS, US ]
AS469 [ AFCONC-BLOCK1-AS, US ]
AS470 [ AFCONC-BLOCK1-AS, US ]
AS471 [ AFCONC-BLOCK1-AS, US ]
AS472 [ AFCONC-BLOCK1-AS, US ]
AS473 [ AFCONC-BLOCK1-AS, US ]
AS474 [ AFCONC-BLOCK1-AS, US ]
AS475 [ AFCONC-BLOCK1-AS, US ]
AS476 [ AFCONC-BLOCK1-AS, US ]
AS477 [ AFCONC-BLOCK1-AS, US ]
AS478 [ AFCONC-BLOCK1-AS, US ]
AS479 [ AFCONC-BLOCK1-AS, US ]
AS480 [ AFCONC-BLOCK1-AS, US ]
AS481 [ AFCONC-BLOCK1-AS, US ]
AS482 [ AFCONC-BLOCK1-AS, US ]
AS483 [ AFCONC-BLOCK1-AS, US ]
AS484 [ AFCONC-BLOCK1-AS, US ]
AS485 [ AFCONC-BLOCK1-AS, US ]
AS486 [ AFCONC-BLOCK1-AS, US ]
AS487 [ AFCONC-BLOCK1-AS, US ]
AS488 [ AFCONC-BLOCK1-AS, US ]
AS489 [ AFCONC-BLOCK1-AS, US ]
AS490 [ AFCONC-BLOCK1-AS, US ]
AS491 [ AFCONC-BLOCK1-AS, US ]
AS492 [ AFCONC-BLOCK1-AS, US ]
AS493 [ AFCONC-BLOCK1-AS, US ]
AS494 [ AFCONC-BLOCK1-AS, US ]
AS495 [ AFCONC-BLOCK1-AS, US ]
AS496 [ AFCONC-BLOCK1-AS, US ]
AS497 [ AFCONC-BLOCK1-AS, US ]
AS498 [ AFCONC-BLOCK1-AS, US ]
AS499 [ AFCONC-BLOCK1-AS, US ]
AS500 [ AFCONC-BLOCK1-AS, US ]
AS501 [ AFCONC-BLOCK1-AS, US ]
AS502 [ AFCONC-BLOCK1-AS, US ]
AS503 [ AFCONC-BLOCK1-AS, US ]
AS504 [ AFCONC-BLOCK1-AS, US ]
AS505 [ AFCONC-BLOCK1-AS, US ]
AS506 [ AFCONC-BLOCK1-AS, US ]
AS507 [ AFCONC-BLOCK1-AS, US ]
AS508 [ AFCONC-BLOCK1-AS, US ]
AS509 [ DNIC-AS-00509, US ]
AS510 [ INTERNET, US ]
AS511 [ SCOEC-ASN, US ]
AS512 [ DNIC-AS-00512, US ]
AS513 [ CERN, CH ]
AS514 [ DSADC-MECH, US ]
AS515 [ DNIC-AS-00515, US ]
AS516 [ KODAK-BTC, US ]
AS517 [ Darmstaedter Landstrasse 184, NL ]
AS518 [ DNIC-AS-00518, US ]
AS519 [ ISCNET, US ]
AS520 [ COINSDISNET3, US ]
AS521 [ FORD-SRL-AS, US ]
AS522 [ AFSC-SSD-AS, US ]
AS523 [ DNIC-AS-00523, US ]
AS524 [ LVLT-524, US ]
AS525 [ CTNOSC-525-AS, US ]
AS526 [ DNIC-AS-00526, US ]
AS527 [ DNIC-AS-00527, US ]
AS528 [ AUGSBURG-GW1-AS CDOIM Augsburg, EU ]
AS529 [ BURTONWOOD-GW1-AS CDOIM Burtonwood Information Center, EU ]
AS530 [ DNIC-AS-00530, US ]
AS531 [ DNIC-AS-00531, US ]
AS532 [ DNIC-AS-00532, US ]
AS533 [ DNIC-AS-00533, US ]
AS534 [ DNIC-AS-00534, US ]
AS535 [ DNIC-AS-00535, US ]
AS536 [ DNIC-AS-00536, US ]
AS537 [ DNIC-AS-00537, US ]
AS538 [ DNIC-AS-00538, US ]
AS539 [ DNIC-AS-00539, US ]
AS540 [ DNIC-AS-00540, US ]
AS541 [ IGAUTON, US ]
AS542 [ ARNET, CA ]
AS543 [ HP-POLYCOM, US ]
AS544 [ SONERA-FUNET-TRANSIT Sonera Corporation, EU ]
AS545 [ NRI, US ]
AS546 [ PARSONS-PGS-1, US ]
AS547 [ ASN-IBM-LEX, US ]
AS548 [ HQUSAF-AS, US ]
AS549 [ GTANET-AS, CA ]
AS550 [ CORNETT-AS, US ]
AS551 [ AS551, US ]
AS552 [ DNIC-AS-00552, US ]
AS553 [ BELWUE BelWue-Koordination, EU ]
AS554 [ CALINET-AS, US ]
AS555 [ VTSII, US ]
AS556 [ CALREN-AS, US ]
AS557 [ UMAINE-SYS-AS, US ]
AS558 [ NNEXT, US ]
AS559 [ SWITCH Peering requests: (peering@switch.ch), EU ]
AS560 [ LVLT-560, US ]
AS561 [ 3COM-A, US ]
AS562 [ 3COM-B, US ]
AS563 [ 3COM-C, US ]
AS564 [ DNIC-AS-00564, US ]
AS565 [ VTT-AS VTT autonomous system, FI ]
AS566 [ SSC-299-Z-566, CA ]
AS567 [ ASN-LNET-AS, US ]
AS568 [ DNIC-AS-00568, US ]
AS569 [ DNIC-AS-00569, US ]
AS570 [ SSD-NET-AS, US ]
AS571 [ DNIC-AS-00571, US ]
AS572 [ GBMC-TOW, US ]
AS573 [ DNIC-AS-00573, US ]
AS574 [ PSC-TEST-AS, US ]
AS575 [ DNIC-AS-00575, US ]
AS576 [ DNIC-AS-00576, US ]
AS577 [ BACOM, CA ]
AS578 [ PKDY-ASNUMBER, US ]
AS579 [ C4DR2, US ]
AS580 [ DNIC-AS-00580, US ]
AS581 [ AMC-MAF-C2-ENCLAVES, US ]
AS582 [ GDSS-21AF-AS, US ]
AS583 [ GDSS-22AF-AS, US ]
AS584 [ GDSS-23AF-AS, US ]
AS585 [ GDSS-322ALD-AS, US ]
AS586 [ GDSS-834ALD-AS, US ]
AS587 [ GDSS-ANG-AS, US ]
AS588 [ DIRECTRON, US ]
AS589 [ UNT-CAMPUS-AS, US ]
AS590 [ EASInet Operations Center, EU ]
AS591 [ NSTN-AS, CA ]
AS592 [ DNIC-AS-00592, US ]
AS593 [ EASINET-AS1 Easinet Air Base, EU ]
AS594 [ CENTURYLINK-LEGACY-LVLT-594, US ]
AS595 [ CENTURYLINK-LEGACY-LVLT-595, US ]
AS596 [ CENTURYLINK-LEGACY-LVLT-596, US ]
AS597 [ CENTURYLINK-LEGACY-LVLT-597, US ]
AS598 [ CENTURYLINK-LEGACY-LVLT-598, US ]
AS599 [ NISC-AS, US ]
AS600 [ OARNET-AS, US ]
AS601 [ BACOM4-AS, CA ]
AS602 [ BACOM3-AS, CA ]
AS603 [ BACOM2-AS, CA ]
AS604 [ ONELAMBDA-INC, US ]
AS605 [ VHS-CHIL, US ]
AS606 [ SCHAT-AS, US ]
AS607 [ AS-NICO1, US ]
AS608 [ -Reserved AS-, ZZ ]
AS609 [ EY-AS-DE, US ]
AS610 [ AS-HERE-US1, US ]
AS611 [ NECN-1-611, CA ]
AS612 [ AIRFIBER521, US ]
AS613 [ BP-AS-613, US ]
AS614 [ CSUNET-AS, US ]
AS615 [ DNIC-AS-00615, US ]
AS616 [ DNIC-ASBLK-00616-00665, US ]
AS617 [ DNIC-ASBLK-00616-00665, US ]
AS618 [ DNIC-ASBLK-00616-00665, US ]
AS619 [ DNIC-ASBLK-00616-00665, US ]
